source,target,relation,weight,layer,communities
port_scanner,multiple_unknown_ports,PERFORMS_PORT_SCAN,8,behavioral,"4,5,8,9,10,13,14,21"
port_scanner,multiple_service_ports,PERFORMS_PORT_SCAN,4,behavioral,"0,11,15,24"
port_scanner,T1046,ASSOCIATED_WITH,4,bridge,"0,11,15,24"
https_scanner,https_port_443_service,PERFORMS_PORT_SCAN,4,behavioral,"6,7,20,32"
https_scanner,T1046,ASSOCIATED_WITH,4,bridge,"6,7,20,32"
smtp_scanner,smtps_port_465_service,PERFORMS_PORT_SCAN,2,behavioral,"35,37"
port_scanner,unknown_port_668,PERFORMS_PORT_SCAN,1,behavioral,33
port_scanner,unknown_port_7443,PERFORMS_PORT_SCAN,1,behavioral,33
port_scanner,unknown_ports_2959_4321_43,PERFORMS_PORT_SCAN,1,behavioral,26
port_scanner,unknown_port_53884,PERFORMS_PORT_SCAN,1,behavioral,12
http_flood_source,T1498,ASSOCIATED_WITH,1,bridge,0
http_flood_source,http_port_80_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,0
http_flood_source,T1499,ASSOCIATED_WITH,1,bridge,0
http_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,0
ssh_brute_force_client,ssh_port_22_service,BRUTE_FORCES_CREDENTIAL,1,behavioral,2
ssh_brute_force_client,T1110,ASSOCIATED_WITH,1,bridge,2
ftp_scanner,ftp_port_21_service,PERFORMS_PORT_SCAN,1,behavioral,1
ftp_scanner,T1046,ASSOCIATED_WITH,1,bridge,1
ssh_brute_force_client,T1110.003,ASSOCIATED_WITH,1,bridge,2
ssh_brute_force_client,T1110.001,ASSOCIATED_WITH,1,bridge,2
dns_scanner,T1046,ASSOCIATED_WITH,1,bridge,3
dns_scanner,dns_port_53_service,PERFORMS_PORT_SCAN,1,behavioral,3
flood_source,unknown_port_444,CAUSES_DENIAL_OF_SERVICE,1,behavioral,12
flood_source,netbios_name_port_137_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,19
flood_source,T1498,ASSOCIATED_WITH,1,bridge,12
port_scanner,unknown_ports_9207_4443_9220,PERFORMS_PORT_SCAN,1,behavioral,17
flood_source,T1499,ASSOCIATED_WITH,1,bridge,12
flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,12
ldap_scanner,T1046,ASSOCIATED_WITH,1,bridge,16
ldap_scanner,ldap_port_389_service,PERFORMS_PORT_SCAN,1,behavioral,16
smb_scanner,T1046,ASSOCIATED_WITH,1,bridge,18
unknown_port_scanner,unknown_port_3546_service,PERFORMS_PORT_SCAN,1,behavioral,22
unknown_port_scanner,T1046,ASSOCIATED_WITH,1,bridge,22
smb_scanner,smb_port_445_service,PERFORMS_PORT_SCAN,1,behavioral,18
netbios_scanner,netbios_session_port_139,PERFORMS_PORT_SCAN,1,behavioral,23
netbios_scanner,netbios_port_137_service,PERFORMS_PORT_SCAN,1,behavioral,38
mssql_scanner,mssql_port_1433_service,PERFORMS_PORT_SCAN,1,behavioral,25
netbios_scanner,T1046,ASSOCIATED_WITH,1,bridge,23
mssql_scanner,T1046,ASSOCIATED_WITH,1,bridge,25
nntp_scanner,nntp_port_119_service,PERFORMS_PORT_SCAN,1,behavioral,27
nntp_scanner,T1046,ASSOCIATED_WITH,1,bridge,27
smtp_scanner,smtp_submission_port_587,PERFORMS_PORT_SCAN,1,behavioral,28
smtp_scanner,smtp_port_25_service,PERFORMS_PORT_SCAN,1,behavioral,40
smtp_scanner,T1046,ASSOCIATED_WITH,1,bridge,28
rdp_scanner,rdp_port_3389_service,PERFORMS_PORT_SCAN,1,behavioral,29
rdp_scanner,T1046,ASSOCIATED_WITH,1,bridge,29
imap_scanner,imap_port_143_service,PERFORMS_PORT_SCAN,1,behavioral,30
imap_scanner,T1046,ASSOCIATED_WITH,1,bridge,30
unknown_port_873_scanner,unknown_port_873_service,PERFORMS_PORT_SCAN,1,behavioral,31
unknown_port_873_scanner,T1046,ASSOCIATED_WITH,1,bridge,31
unknown_port_666_scanner,unknown_port_666_service,PERFORMS_PORT_SCAN,1,behavioral,34
unknown_port_666_scanner,T1046,ASSOCIATED_WITH,1,bridge,34
unknown_port_4343_scanner,unknown_port_4343_service,PERFORMS_PORT_SCAN,1,behavioral,36
unknown_port_4343_scanner,T1046,ASSOCIATED_WITH,1,bridge,36
mysql_scanner,mysql_port_3306_service,PERFORMS_PORT_SCAN,1,behavioral,39
mysql_scanner,T1046,ASSOCIATED_WITH,1,bridge,39
pptp_scanner,pptp_port_1723_service,PERFORMS_PORT_SCAN,1,behavioral,41
pptp_scanner,T1046,ASSOCIATED_WITH,1,bridge,41
