community_id,ground_truth,rag_technique_id,completeness,summary_grounding,evidence_grounding,faithfulness,name_consistency
1,T1110.001,T1046,1.0,0.7033,0.5969,0.4805,1.0
2,T1110.001,T1110.001,1.0,0.7174,0.4933,0.3956,0.0
12,T1203,T1499,1.0,0.5482,0.6006,0.5491,1.0
13,T1046,T1046,1.0,0.6227,0.4432,0.4765,1.0
15,T1046,T1046,1.0,0.5662,0.3958,0.5413,1.0
17,T1046,T1046,1.0,0.7019,0.5889,0.5848,1.0
21,T1071.001,T1046,1.0,0.6723,0.4154,0.4891,1.0
22,T1046,T1046,1.0,0.8406,0.688,0.4392,1.0
25,T1046,T1046,1.0,0.7465,0.5946,0.4576,1.0
26,T1046,T1046,1.0,0.7435,0.5175,0.5166,1.0
27,T1046,T1046,1.0,0.765,0.6358,0.4785,1.0
28,T1046,T1046,1.0,0.7578,0.6576,0.4567,1.0
29,T1046,T1046,1.0,0.7223,0.6044,0.476,1.0
30,T1046,T1046,1.0,0.8326,0.6687,0.4254,1.0
31,T1046,T1046,1.0,0.8296,0.5939,0.3581,1.0
34,T1046,T1046,1.0,0.8503,0.6472,0.4698,1.0
39,T1046,T1046,1.0,0.6819,0.522,0.4933,1.0
40,T1046,T1046,1.0,0.7918,0.5473,0.5136,1.0
