source,target,relation,weight,layer,communities
scanner_host,multiple_service_ports,PERFORMS_PORT_SCAN,15,behavioral,"0,4,5,8,9,10,11,13,14,15,17,21,24,26,33"
scanner_host,T1046,ASSOCIATED_WITH,15,bridge,"0,4,5,8,9,10,11,13,14,15,17,21,24,26,33"
scanner_host,dns_port_53_service,PERFORMS_PORT_SCAN,1,behavioral,3
scanner_host,unknown_port_444_service,PERFORMS_PORT_SCAN,1,behavioral,12
scanner_host,netbios_session_port_139,PERFORMS_PORT_SCAN,1,behavioral,23
scanner_host,netbios_name_port_137_service,PERFORMS_PORT_SCAN,1,behavioral,19
scanner_host,unknown_port_4343_service,PERFORMS_PORT_SCAN,1,behavioral,36
scanner_host,netbios_name_port_137,PERFORMS_PORT_SCAN,1,behavioral,38
scanner_host,mysql_port_3306_service,PERFORMS_PORT_SCAN,1,behavioral,39
scanner_host,pptp_port_1723_service,PERFORMS_PORT_SCAN,1,behavioral,41
flood_source,ftp_port_21_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,1
flood_source,https_port_443_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,7
flood_source,netbios_name_port_137_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,19
flood_source,https_web_server,CAUSES_DENIAL_OF_SERVICE,1,behavioral,20
flood_source,nntp_port_119_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,27
flood_source,T1498,ASSOCIATED_WITH,1,bridge,1
flood_source,T1499,ASSOCIATED_WITH,1,bridge,1
flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,1
ssh_scanner,ssh_port_22_service,PERFORMS_RECONNAISSANCE,1,behavioral,2
ssh_scanner,T1046,ASSOCIATED_WITH,1,bridge,2
https_target,https_port_443_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,6
https_target,T1498,ASSOCIATED_WITH,1,bridge,6
https_target,T1499,ASSOCIATED_WITH,1,bridge,6
https_target,T1499.001,ASSOCIATED_WITH,1,bridge,6
ldap_flood_client,ldap_port_389_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,16
ldap_flood_client,T1498,ASSOCIATED_WITH,1,bridge,16
ldap_flood_client,T1499,ASSOCIATED_WITH,1,bridge,16
ldap_flood_client,T1499.001,ASSOCIATED_WITH,1,bridge,16
smb_flood_source,smb_port_445_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,18
smb_flood_source,T1498,ASSOCIATED_WITH,1,bridge,18
smb_flood_source,T1499,ASSOCIATED_WITH,1,bridge,18
smb_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,18
unknown_port_3546_flood_source,unknown_port_3546_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,22
unknown_port_3546_flood_source,T1498,ASSOCIATED_WITH,1,bridge,22
unknown_port_3546_flood_source,T1499,ASSOCIATED_WITH,1,bridge,22
unknown_port_3546_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,22
mssql_flood_client,mssql_port_1433,CAUSES_DENIAL_OF_SERVICE,1,behavioral,25
mssql_flood_client,T1498,ASSOCIATED_WITH,1,bridge,25
mssql_flood_client,T1499,ASSOCIATED_WITH,1,bridge,25
mssql_flood_client,T1499.001,ASSOCIATED_WITH,1,bridge,25
smtp_submission_spammer,smtp_port_587_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,28
smtp_submission_spammer,T1498,ASSOCIATED_WITH,1,bridge,28
smtp_submission_spammer,T1499,ASSOCIATED_WITH,1,bridge,28
smtp_submission_spammer,T1499.001,ASSOCIATED_WITH,1,bridge,28
rdp_flood_client,rdp_port_3389_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,29
rdp_flood_client,T1498,ASSOCIATED_WITH,1,bridge,29
rdp_flood_client,T1499,ASSOCIATED_WITH,1,bridge,29
rdp_flood_client,T1499.001,ASSOCIATED_WITH,1,bridge,29
imap_spammer,imap_port_143_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,30
imap_spammer,T1498,ASSOCIATED_WITH,1,bridge,30
imap_spammer,T1499,ASSOCIATED_WITH,1,bridge,30
imap_spammer,T1499.001,ASSOCIATED_WITH,1,bridge,30
unknown_port_873_flood_source,unknown_port_873_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,31
unknown_port_873_flood_source,T1498,ASSOCIATED_WITH,1,bridge,31
unknown_port_873_flood_source,T1499,ASSOCIATED_WITH,1,bridge,31
unknown_port_873_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,31
