community_id,ground_truth,rag_technique_id,completeness,summary_grounding,evidence_grounding,faithfulness,name_consistency
1,T1110.001,T1499,1.0,0.8173,0.801,0.5415,1.0
2,T1110.001,T1046,1.0,0.7057,0.5467,0.5783,1.0
12,T1203,T1046,1.0,0.4784,0.7103,0.5772,1.0
13,T1046,T1046,1.0,0.592,0.5507,0.45,1.0
15,T1046,T1046,1.0,0.6304,0.5811,0.4397,1.0
17,T1046,T1046,1.0,0.6089,0.4783,0.4253,1.0
21,T1071.001,T1046,1.0,0.6293,0.5958,0.4165,1.0
22,T1046,T1498,1.0,0.8368,0.7834,0.6348,1.0
25,T1046,T1499,1.0,0.7939,0.86,0.5577,1.0
26,T1046,T1046,1.0,0.6267,0.6163,0.4817,1.0
27,T1046,T1498,1.0,0.9025,0.5037,0.5156,1.0
28,T1046,T1498,1.0,0.7343,0.7197,0.573,1.0
29,T1046,T1499,1.0,0.8559,0.7882,0.5288,1.0
30,T1046,T1499,1.0,0.7891,0.6358,0.495,1.0
31,T1046,T1499.001,1.0,0.8551,0.2086,0.5144,1.0
34,T1046,T1498,1.0,0.7564,0.7346,0.5778,1.0
39,T1046,T1046,1.0,0.7338,0.6679,0.3788,1.0
40,T1046,T1498,1.0,0.6857,0.6408,0.6517,1.0
