 Label, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets, SYN Flag Count, RST Flag Count,FIN Flag Count,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Down/Up Ratio, Average Packet Size, Packet Length Std,Active Mean,Idle Mean,alert_text,community_id,Technique,Tactics
BENIGN,53,808,2,2,0,0,0,443069.3069,4950.49505,269.3333333,1,102.25,42.17463693,0.0,0.0,"Network flow targeting DNS on port 53. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 2 outbound and 2 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate with low byte volume. Directionality: roughly balanced bidirectional traffic. Session rhythm: alternating active and idle periods. Payload characteristics: moderate-size packets.",3,,None
BENIGN,53,826,2,2,0,0,0,285714.2857,4842.615012,275.3333333,1,66.25,32.86335345,0.0,0.0,"Network flow targeting DNS on port 53. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 2 outbound and 2 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate with low byte volume. Directionality: roughly balanced bidirectional traffic. Session rhythm: alternating active and idle periods. Payload characteristics: small uniform packets.",3,,None
BENIGN,7815,38,1,1,0,0,0,0.0,52631.57895,38.0,1,0.0,0.0,0.0,0.0,"Network flow targeting unknown-port-7815 on port 7815. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate with low byte volume. Directionality: roughly balanced bidirectional traffic. Session rhythm: alternating active and idle periods. Payload characteristics: small uniform packets.",5,,None
BENIGN,443,5395624,16,23,0,0,0,5192.170544,7.228079644,141990.1053,1,718.3333333,875.9037439,0.0,0.0,"Network flow targeting HTTPS on port 443. Connection profile: short-lived connection. Traffic exchange: low packet count, with 16 outbound and 23 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-second inter-arrival timing. Traffic rate: moderate packet and byte rate. Directionality: roughly balanced bidirectional traffic. Session rhythm: alternating active and idle periods. Payload characteristics: moderate-size packets.",6,,None
BENIGN,80,5882540,3,1,0,0,0,2.03993513,0.679978377,1960846.667,0,3.0,3.286335345,0.0,0.0,"Network flow targeting HTTP on port 80. Connection profile: short-lived connection. Traffic exchange: very low packet count, with 3 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: multi-second inter-arrival gaps. Traffic rate: very low packet and byte rate. Directionality: strongly outbound-dominant traffic. Session rhythm: alternating active and idle periods. Payload characteristics: small uniform packets.",0,,None
BENIGN,53,188,2,2,0,0,0,1382978.723,21276.59574,62.66666667,1,73.25,35.05424368,0.0,0.0,"Network flow targeting DNS on port 53. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 2 outbound and 2 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate and very high byte rate. Directionality: roughly balanced bidirectional traffic. Session rhythm: alternating active and idle periods. Payload characteristics: small uniform packets.",3,,None
BENIGN,35143,24183,14,6,0,0,0,764628.0445,827.0272505,1272.789474,0,924.55,1146.391714,0.0,0.0,"Network flow targeting unknown-port-35143 on port 35143. Connection profile: sub-second connection. Traffic exchange: low packet count, with 14 outbound and 6 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: moderate packet and byte rate. Directionality: strongly outbound-dominant traffic. Session rhythm: alternating active and idle periods. Payload characteristics: moderate-size packets.",11,,None
BENIGN,53,196,2,2,0,0,0,2204081.633,20408.16327,65.33333333,1,119.0,70.10848736,0.0,0.0,"Network flow targeting DNS on port 53. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 2 outbound and 2 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate and very high byte rate. Directionality: roughly balanced bidirectional traffic. Session rhythm: alternating active and idle periods. Payload characteristics: moderate-size packets.",3,,None
BENIGN,59408,10232685,1,4,0,0,0,2.931781834,0.488630306,2558171.25,4,7.2,0.0,1345.0,10200000.0,"Network flow targeting unknown-port-59408 on port 59408. Connection profile: sustained connection. Traffic exchange: very low packet count, with 1 outbound and 4 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: multi-second inter-arrival gaps. Traffic rate: very low packet and byte rate. Directionality: strongly inbound-dominant traffic. Session rhythm: mostly idle with short active bursts. Payload characteristics: small uniform packets.",0,,None
BENIGN,53,30650,1,1,0,0,0,3849.918434,65.25285481,30650.0,1,84.5,9.237604307,0.0,0.0,"Network flow targeting DNS on port 53. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: rapid inter-arrival timing. Traffic rate: moderate packet and byte rate. Directionality: roughly balanced bidirectional traffic. Session rhythm: alternating active and idle periods. Payload characteristics: small uniform packets.",3,,None
