source,target,relation,weight,layer,communities
flood_source,unknown_ports,CAUSES_DENIAL_OF_SERVICE,2,behavioral,"10,21"
flood_source,https_port_443_server,CAUSES_DENIAL_OF_SERVICE,2,behavioral,"7,20"
smtps_flood_source,T1499,ASSOCIATED_WITH,2,bridge,"35,37"
smtps_flood_source,T1498,ASSOCIATED_WITH,2,bridge,"35,37"
smtps_flood_source,smtps_port_465_service,CAUSES_DENIAL_OF_SERVICE,2,behavioral,"35,37"
smtps_flood_source,T1499.001,ASSOCIATED_WITH,2,bridge,"35,37"
ftp_flood_source,T1499,ASSOCIATED_WITH,1,bridge,1
ftp_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,1
ssh_brute_force_client,ssh_port_22_service,BRUTE_FORCES_CREDENTIAL,1,behavioral,2
ftp_flood_source,T1498,ASSOCIATED_WITH,1,bridge,1
unknown_port_59408_client,T1071.001,ASSOCIATED_WITH,1,bridge,0
unknown_port_59408_client,T1071,ASSOCIATED_WITH,1,bridge,0
unknown_port_59408_client,unknown_port_59408_service,ESTABLISHES_C2,1,behavioral,0
dns_flood_source,dns_port_53_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,3
ssh_brute_force_client,T1110.003,ASSOCIATED_WITH,1,bridge,2
dns_flood_source,T1498,ASSOCIATED_WITH,1,bridge,3
dns_flood_source,T1499,ASSOCIATED_WITH,1,bridge,3
unknown_port_52020_client,T1071,ASSOCIATED_WITH,1,bridge,4
unknown_port_52020_client,T1071.001,ASSOCIATED_WITH,1,bridge,4
dns_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,3
unknown_port_52020_client,unknown_port_52020_service,ESTABLISHES_C2,1,behavioral,4
flood_source,unknown_ports_7815_54879_6850_58908_57214_53839,CAUSES_DENIAL_OF_SERVICE,1,behavioral,5
unknown_port_52020_client,T1071.004,ASSOCIATED_WITH,1,bridge,4
flood_source,unknown_ports_50505_51462,CAUSES_DENIAL_OF_SERVICE,1,behavioral,8
flood_source,unknown_ports_52993_911_6699_53998_52972_52926,CAUSES_DENIAL_OF_SERVICE,1,behavioral,9
flood_source,netbios_name_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,19
flood_source,unknown_port_3546,CAUSES_DENIAL_OF_SERVICE,1,behavioral,22
flood_source,multiple_service_ports,CAUSES_DENIAL_OF_SERVICE,1,behavioral,24
flood_source,mssql_port_1433_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,25
flood_source,unknown_ports_2959_4321_43,CAUSES_DENIAL_OF_SERVICE,1,behavioral,26
flood_source,nntp_port_119,CAUSES_DENIAL_OF_SERVICE,1,behavioral,27
flood_source,smtp_submission_port_587,CAUSES_DENIAL_OF_SERVICE,1,behavioral,28
flood_source,imap_port_143_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,30
flood_source,unknown_port_873,CAUSES_DENIAL_OF_SERVICE,1,behavioral,31
