community_id,ground_truth,rag_technique_id,completeness,summary_grounding,evidence_grounding,faithfulness,name_consistency
1,T1110.001,T1498,1.0,0.7167,0.7647,0.6617,1.0
2,T1110.001,T1110.001,1.0,0.6806,0.6493,0.582,1.0
12,T1203,T1071.001,1.0,0.5016,0.4101,0.5303,0.0
13,T1046,T1046,1.0,0.753,0.6727,0.5569,1.0
15,T1046,T1498,1.0,0.5899,0.5994,0.6101,1.0
17,T1046,T1498,1.0,0.8134,0.8371,0.5634,1.0
21,T1071.001,T1498,1.0,0.5427,0.5504,0.5855,1.0
22,T1046,T1498,1.0,0.8182,0.818,0.6461,1.0
25,T1046,T1498,1.0,0.7818,0.8246,0.6895,1.0
26,T1046,T1498,1.0,0.8291,0.8513,0.684,1.0
27,T1046,T1498,1.0,0.7919,0.7988,0.5972,1.0
28,T1046,T1498,1.0,0.791,0.7639,0.6776,1.0
29,T1046,T1498,1.0,0.7786,0.8106,0.5969,1.0
30,T1046,T1498,1.0,0.7868,0.8129,0.5979,1.0
31,T1046,T1498,1.0,0.6722,0.8236,0.7047,1.0
34,T1046,T1498,1.0,0.7991,0.6944,0.6301,1.0
39,T1046,T1498,1.0,0.7429,0.7647,0.583,1.0
40,T1046,T1498,1.0,0.7093,0.7587,0.6788,1.0
